일시,평균기온
2023-01-01,-0.6956607706311231
2023-01-02,-0.1628815010538412
2023-01-03,0.19486986447336285
2023-01-04,0.628737583016747
2023-01-05,1.092281775230152
2023-01-06,1.5238591784607918
2023-01-07,1.8849297853285947
2023-01-08,2.217807505461058
2023-01-09,2.59142497098388
2023-01-10,2.8990035678615342
2023-01-11,3.2695454392062038
2023-01-12,3.565194686356289
2023-01-13,3.8477732666165383
2023-01-14,4.176382018575601
2023-01-15,4.516257913357196
2023-01-16,4.876185253905511
2023-01-17,5.145857395437923
2023-01-18,5.394952551300672
2023-01-19,5.602786792430916
2023-01-20,5.790123338560996
2023-01-21,6.057486527188409
2023-01-22,6.2434350954170625
2023-01-23,6.485803046152258
2023-01-24,6.664632603241742
2023-01-25,6.8357774298267415
2023-01-26,7.057091660722959
2023-01-27,7.296542385394666
2023-01-28,7.558662967454928
2023-01-29,7.7319339810388765
2023-01-30,7.888142576803067
2023-01-31,8.006789828735453
2023-02-01,8.108158476766814
2023-02-02,8.293199594674565
2023-02-03,8.399436714064016
2023-02-04,8.56475149449155
2023-02-05,8.669391549171769
2023-02-06,8.769013850436005
2023-02-07,8.921359482387166
2023-02-08,9.094353345527143
2023-02-09,9.292371132984561
2023-02-10,9.40379042822415
2023-02-11,9.500354781392971
2023-02-12,9.561491802779948
2023-02-13,9.607402191419943
2023-02-14,9.738973033152606
2023-02-15,9.793641567375195
2023-02-16,9.909224014828496
2023-02-17,9.965907593559098
2023-02-18,10.01928432621293
2023-02-19,10.12703396610346
2023-02-20,10.25702340629356
2023-02-21,10.413570413381414
2023-02-22,10.48499754416979
2023-02-23,10.54299623177433
2023-02-24,10.566943294462952
2023-02-25,10.576990260645735
2023-02-26,10.673977056473715
2023-02-27,10.695295025946331
2023-02-28,10.778716433534541
2023-03-01,10.804386154934898
2023-03-02,10.827855266735309
2023-03-03,10.906764058823244
2023-03-04,11.00894138775473
2023-03-05,11.13866830655368
2023-03-06,11.18423198215017
2023-03-07,11.217289736197488
2023-03-08,11.217185483145588
2023-03-09,11.204039017995816
2023-03-10,11.278659669755482
2023-03-11,11.278409269545921
2023-03-12,11.341031626786116
2023-03-13,11.346644177863904
2023-03-14,11.350771536851088
2023-03-15,11.41102847538425
2023-03-16,11.495219242304756
2023-03-17,11.607601160078008
2023-03-18,11.636438511759513
2023-03-19,11.653366551644343
2023-03-20,11.63770791378864
2023-03-21,11.60956187179343
2023-03-22,11.66971796531594
2023-03-23,11.655518941871287
2023-03-24,11.704690208050929
2023-03-25,11.697331453837275
2023-03-26,11.688950179858715
2023-03-27,11.737144654732685
2023-03-28,11.80970321293169
2023-03-29,11.910867830190707
2023-03-30,11.928887990240055
