일시,평균기온
2023-01-01,-1.9762810185916848
2023-01-02,-2.7074975905006324
2023-01-03,-3.2140604918057547
2023-01-04,-3.2228040293342644
2023-01-05,-3.2573263535830295
2023-01-06,-3.217973372794589
2023-01-07,-3.299867537271556
2023-01-08,-3.1303355669501
2023-01-09,-2.9119161616024227
2023-01-10,-2.884952465537221
2023-01-11,-3.0458879715010796
2023-01-12,-3.2129265505751867
2023-01-13,-3.0887988363631456
2023-01-14,-3.0689608943412177
2023-01-15,-3.1026184083562334
2023-01-16,-3.0355063539432456
2023-01-17,-3.1738800321015455
2023-01-18,-3.237925552527534
2023-01-19,-3.1444267145813782
2023-01-20,-3.1144808872387615
2023-01-21,-3.2394994536510877
2023-01-22,-3.188394939723106
2023-01-23,-3.0769259524774406
2023-01-24,-3.0668613344338813
2023-01-25,-3.133074964655932
2023-01-26,-3.120251665061318
2023-01-27,-3.1338504774515927
2023-01-28,-3.1622775123013254
2023-01-29,-3.1263953243333353
2023-01-30,-3.134825100398308
2023-01-31,-3.0293888040004164
2023-02-01,-3.0422072071448185
2023-02-02,-2.9847695949557833
2023-02-03,-3.0811709268315983
2023-02-04,-3.081232271508897
2023-02-05,-3.02276507569863
2023-02-06,-3.10893118280073
2023-02-07,-3.073487411852243
2023-02-08,-2.973395512480748
2023-02-09,-3.028832059871616
2023-02-10,-3.1052358231989463
2023-02-11,-3.060274782083007
2023-02-12,-2.9960120419705762
2023-02-13,-2.9869372644196366
2023-02-14,-3.119698602274928
2023-02-15,-3.128052589168854
2023-02-16,-3.183275165945772
2023-02-17,-3.309506812243087
2023-02-18,-3.3058469126776076
2023-02-19,-3.2616381244530053
2023-02-20,-3.204667311187146
2023-02-21,-3.17964146553014
2023-02-22,-3.0672527320376126
2023-02-23,-3.143389175969075
2023-02-24,-3.103668543459932
2023-02-25,-3.0369303913150265
2023-02-26,-3.0805185007461873
2023-02-27,-2.9810164317467325
2023-02-28,-2.866509542720458
2023-03-01,-2.954427340970137
2023-03-02,-2.966225910443311
2023-03-03,-2.958719791673831
2023-03-04,-2.9369587206240064
2023-03-05,-2.9594427803036543
2023-03-06,-3.1017409169748005
2023-03-07,-3.1060251081013597
2023-03-08,-3.1981383931107534
2023-03-09,-3.3477483448582843
2023-03-10,-3.340085282055913
2023-03-11,-3.286747783399768
2023-03-12,-3.299085249374785
2023-03-13,-3.2427312583545818
2023-03-14,-3.105707378501549
2023-03-15,-3.144893013935861
2023-03-16,-3.1245875073220293
2023-03-17,-3.072503747249163
2023-03-18,-3.0900595688348775
2023-03-19,-3.007746963768126
2023-03-20,-2.9133601191020624
2023-03-21,-2.987780604914893
2023-03-22,-2.9366899588516664
2023-03-23,-2.9501122932065313
2023-03-24,-2.932952670635012
2023-03-25,-2.99158617945177
2023-03-26,-3.09115913079529
2023-03-27,-3.0734326799344327
2023-03-28,-3.1776964617150023
2023-03-29,-3.2759095730965324
2023-03-30,-3.2365868621546148
2023-03-31,-3.2152220690890556
2023-04-01,-3.2749145533089132
2023-04-02,-3.2103097370278957
2023-04-03,-3.0875965609958134
2023-04-04,-3.0969376380378315
2023-04-05,-3.1339452193647195
