일시,평균기온
2023-01-01,-2.2586332107783953
2023-01-02,-2.4198615261350462
2023-01-03,-3.396555303642762
2023-01-04,0.9186482547263661
2023-01-05,-1.5192865947154184
2023-01-06,-1.12908796787573
2023-01-07,2.5058782434228406
2023-01-08,2.6712356484194775
2023-01-09,6.021929620676118
2023-01-10,6.314373147886632
2023-01-11,8.215206474626827
2023-01-12,7.721800116825261
2023-01-13,9.28623822728728
2023-01-14,11.064123513140334
2023-01-15,13.442623895159414
2023-01-16,14.152080298201202
2023-01-17,16.55860391768718
2023-01-18,16.809115522266012
2023-01-19,17.0370291039732
2023-01-20,19.373629288396142
2023-01-21,20.85115045252053
2023-01-22,22.071895043969448
2023-01-23,22.76871733361166
2023-01-24,23.75849384347625
2023-01-25,24.392715116194836
2023-01-26,24.633862489797
2023-01-27,25.268249849861192
2023-01-28,26.254708088515642
2023-01-29,26.78285434644033
2023-01-30,27.70353704376737
2023-01-31,27.275155320834006
2023-02-01,27.463667192461497
2023-02-02,26.652274683859194
2023-02-03,24.71246748420024
2023-02-04,23.753188514572624
2023-02-05,22.48816451799166
2023-02-06,22.471272445794128
2023-02-07,21.59620464242428
2023-02-08,19.565189999257353
2023-02-09,17.865212554851073
2023-02-10,16.125023563514404
2023-02-11,13.40111473207571
2023-02-12,11.214394368202614
2023-02-13,12.056390563191194
2023-02-14,9.588816764147285
2023-02-15,8.15305135371462
2023-02-16,7.292895139406388
2023-02-17,3.2794529468623925
2023-02-18,-0.3261611326582119
2023-02-19,-0.20848023846163555
2023-02-20,-2.3100522724454695
2023-02-21,-2.234207965036475
2023-02-22,-1.4817174835424936
2023-02-23,-1.7599325556299887
2023-02-24,-2.83599740676339
2023-02-25,1.3947982190374368
2023-02-26,-1.1148345483245314
2023-02-27,-0.7855376789106596
2023-02-28,2.7976972664719044
2023-03-01,2.9191130187743264
2023-03-02,6.23248200376632
2023-03-03,6.493220881996039
2023-03-04,8.367123596279
2023-03-05,7.850841795580683
2023-03-06,9.395849011607845
