일시,평균기온
2023-01-01,-5.452631503860314
2023-01-02,-5.369116724164547
2023-01-03,-5.286881091688374
2023-01-04,-5.205905014479145
2023-01-05,-5.126169200662733
2023-01-06,-5.047654653847405
2023-01-07,-4.970342668598095
2023-01-08,-4.894214825979983
2023-01-09,-4.819252989170344
2023-01-10,-4.745439299137599
2023-01-11,-4.67275617038655
2023-01-12,-4.6011862867687805
2023-01-13,-4.530712597357232
2023-01-14,-4.461318312383961
2023-01-15,-4.392986899240114
2023-01-16,-4.325702078537177
2023-01-17,-4.259447820228544
2023-01-18,-4.194208339790493
2023-01-19,-4.1299680944616535
2023-01-20,-4.066711779540075
2023-01-21,-4.00442432473701
2023-01-22,-3.943090890586543
2023-01-23,-3.8826968649102107
2023-01-24,-3.823227859335774
2023-01-25,-3.764669705869307
2023-01-26,-3.707008453519793
2023-01-27,-3.6502303649754144
2023-01-28,-3.5943219133307553
2023-01-29,-3.5392697788641287
2023-01-30,-3.485060845864263
2023-01-31,-3.431682199505594
2023-02-01,-3.379121122771417
2023-02-02,-3.327365093424161
2023-02-03,-3.276401781022073
2023-02-04,-3.2262190439815903
2023-02-05,-3.176804926684712
2023-02-06,-3.1281476566306714
2023-02-07,-3.080235641631238
2023-02-08,-3.033057467048973
2023-02-09,-2.9866018930777884
2023-02-10,-2.9408578520651574
2023-02-11,-2.895814445875338
2023-02-12,-2.8514609432929836
2023-02-13,-2.8077867774665197
2023-02-14,-2.7647815433906815
2023-02-15,-2.722434995427607
2023-02-16,-2.6807370448658983
2023-02-17,-2.6396777575170733
2023-02-18,-2.599247351348826
2023-02-19,-2.55943619415454
2023-02-20,-2.5202348012584936
2023-02-21,-2.481633833256219
2023-02-22,-2.4436240937894635
2023-02-23,-2.406196527355236
2023-02-24,-2.369342217148408
2023-02-25,-2.3330523829373604
2023-02-26,-2.2973183789721645
2023-02-27,-2.262131691924807
2023-02-28,-2.2274839388609586
2023-03-01,-2.1933668652428113
2023-03-02,-2.159772342962503
2023-03-03,-2.126692368405663
2023-03-04,-2.0941190605446196
2023-03-05,-2.0620446590608092
2023-03-06,-2.0304615224959464
2023-03-07,-1.9993621264315093
2023-03-08,-1.9687390616961111
2023-03-09,-1.9385850326003258
2023-03-10,-1.9088928551985511
2023-03-11,-1.879655455577494
2023-03-12,-1.8508658681708698
2023-03-13,-1.8225172340999136
2023-03-14,-1.7946027995393106
2023-03-15,-1.7671159141081527
2023-03-16,-1.7400500292855414
2023-03-17,-1.7133986968504573
2023-03-18,-1.6871555673455252
2023-03-19,-1.661314388564309
2023-03-20,-1.6358690040617752
2023-03-21,-1.6108133516875722
2023-03-22,-1.586141462141773
2023-03-23,-1.5618474575527397
2023-03-24,-1.537925550076769
2023-03-25,-1.5143700405191876
2023-03-26,-1.491175316976566
2023-03-27,-1.4683358534997302
2023-03-28,-1.4458462087772492
2023-03-29,-1.4237010248390896
2023-03-30,-1.4018950257801224
2023-03-31,-1.3804230165031837
2023-04-01,-1.3592798814813856
2023-04-02,-1.3384605835393852
2023-04-03,-1.3179601626533195
2023-04-04,-1.2977737347691205
2023-04-05,-1.2778964906389307
2023-04-06,-1.2583236946753402
2023-04-07,-1.239050683823172
2023-04-08,-1.2200728664485483
2023-04-09,-1.201385721244972
2023-04-10,-1.182984796156163
2023-04-11,-1.1648657073153936
2023-04-12,-1.1470241380010682
2023-04-13,-1.1294558376083006
2023-04-14,-1.1121566206362434
2023-04-15,-1.0951223656909264
2023-04-16,-1.0783490145033696
